project_name,country,year,sector,subsector,investment,fund_source,carrier_type,overall_rating,relevance,coherence,effectivity,efficiency,impact,sustainability,url,outcome_fully,outcome_partially,outcome_not,pdf
Renaturierung und nachhaltiges Management von Mooren in der Ukraine,Ukraine,2019,Umweltschutz,Ressourcenschutz inkl. Wasser,2678000.0,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz (BMUV)",NRO,5,4.0,4.0,5.0,5.0,5,4.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/IKI-Evaluierungen/IKI_Ukraine_Mooren_2019_D.pdf,0.0,0.0,100.0,IKI_Ukraine_Mooren_2019_D.pdf
Sektorreformprogramm Umwelt (PGF),Peru,2018,Umweltschutz,Ressourcenschutz inkl. Wasser,87000000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,2,2.0,,2.0,3.0,2,2.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-L-P/Peru_SBHUmwelt_2018_D.pdf,80.0,20.0,0.0,Peru_SBHUmwelt_2018_D.pdf
Schutzgebiete <span lang='en'>Guiana Shield</span>,Lateinamerika (regional),2017,Umweltschutz,Ressourcenschutz inkl. Wasser,2970000.0,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz (BMUV)",NRO,3,3.0,3.0,3.0,3.0,3,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/IKI-Evaluierungen/IKI_Guyana_Shield_Initiative_2017_D.pdf,16.666666666666664,83.33333333333334,0.0,IKI_Guyana_Shield_Initiative_2017_D.pdf
Tropenwaldschutz,Guyana,2015,Umweltschutz,Ressourcenschutz inkl. Wasser,2750000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,3,2.0,,3.0,2.0,3,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-E-K/Guyana_Tropenwaldschutz_2015_D.pdf,33.33333333333333,50.0,16.666666666666664,Guyana_Tropenwaldschutz_2015_D.pdf
Bwabwata Mudumu Mamili National Parks (BMMP) II,Namibia,2018,Umweltschutz,Ressourcenschutz inkl. Wasser,4410000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,2,2.0,,1.0,2.0,1,2.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-L-P/Namibia_BMMP_2018_D.pdf,75.0,25.0,0.0,Namibia_BMMP_2018_D.pdf
Tropenwaldschutz <span lang='en'>Oban Hills</span>,Nigeria,2017,Umweltschutz,Ressourcenschutz inkl. Wasser,3230000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,3,2.0,,3.0,3.0,3,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-L-P/Nigeria_Tropenwaldschutz_2017_D.pdf,33.33333333333333,33.33333333333333,33.33333333333333,Nigeria_Tropenwaldschutz_2017_D.pdf
Fischereiüberwachung III,Mauretanien,2016,Landwirtschaft und Ernährungssicherheit,Ernährungssicherung,5280000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,3,1.0,,3.0,2.0,3,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-L-P/Mauretanien_Fischerei_2016_D.pdf,100.0,0.0,0.0,Mauretanien_Fischerei_2016_D.pdf
Naturschutzgebiete: Beiträge zur Emissionsminderung und Anpassung,Brasilien,2017,Umweltschutz,Ressourcenschutz inkl. Wasser,96111000.0,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz (BMUV)",Mischform,2,2.0,2.0,2.0,2.0,2,2.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/IKI-Evaluierungen/IKI_Brasilien_ARPA_2017_D.pdf,80.0,20.0,0.0,IKI_Brasilien_ARPA_2017_D.pdf
Ressourcenschutz Fogo ,Kap Verde (Cabo Verde),2017,Umweltschutz,Ernährungssicherung,5520000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,3,2.0,,3.0,2.0,3,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-E-K/Kap_Verden_RessourcenschutzFogo_2017_D.pdf,28.57142857142857,28.57142857142857,14.285714285714285,Kap_Verden_RessourcenschutzFogo_2017_D.pdf
Tropenwaldschutz und Wassereinzugsgebietsverwaltung in der Region <span lang='es'>Trifinio</span>,Zentralamerika (CTPT),2018,Umweltschutz,Ressourcenschutz inkl. Wasser,17200000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Mischform,2,2.0,,3.0,2.0,3,2.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-R-Z/Zentralamerika_Trifinio_2018_D.pdf,80.0,20.0,0.0,Zentralamerika_Trifinio_2018_D.pdf
Förderung des Schutzgebietskomplex <span lang='fr'>Tri National de la Sangha</span> (TNS),Afrika (regional),2018,Umweltschutz,Ressourcenschutz inkl. Wasser,1451000.0,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz (BMUV)",NRO,3,2.0,2.0,3.0,3.0,2,4.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/IKI-Evaluierungen/IKI_Afrika_FTNS_2018_E.pdf,37.5,50.0,12.5,IKI_Afrika_FTNS_2018_E.pdf
REDD für <span lang='en'>Early Movers - Acre</span>/Brasilien,Brasilien,2018,Umweltschutz,Ressourcenschutz inkl. Wasser,9000000.0,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz (BMUV)",Staatlich,2,1.0,3.0,1.0,2.0,2,2.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/IKI-Evaluierungen/IKI_Brasilien_Acre_D.pdf,100.0,0.0,0.0,IKI_Brasilien_Acre_D.pdf
"Umweltaktionsplan (Reservatschutz Ankarafantsika), Phase III ",Madagaskar,2017,Umweltschutz,Ressourcenschutz inkl. Wasser,6660000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Privatwirtschaftlich,3,2.0,,3.0,2.0,3,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-L-P/Madagaskar_Umwelt_2017_D.pdf,100.0,0.0,0.0,Madagaskar_Umwelt_2017_D.pdf
"Umweltaktionsplan (Reservatschutz Ankarafantsika), Phase IIIa",Madagaskar,2017,Umweltschutz,Ressourcenschutz inkl. Wasser,4880000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Privatwirtschaftlich,3,2.0,,3.0,2.0,3,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-L-P/Madagaskar_Umwelt_2017_D.pdf,100.0,0.0,0.0,Madagaskar_Umwelt_2017_D.pdf
Investitionsfonds Nationalparks,Madagaskar,2017,Umweltschutz,Ressourcenschutz inkl. Wasser,45800000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Privatwirtschaftlich,2,2.0,,2.0,2.0,2,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-L-P/Madagaskar_Umwelt_2017_D.pdf,75.0,25.0,0.0,Madagaskar_Umwelt_2017_D.pdf
Schutzgebietsmanagement und Klimaanpassung im Osthimalaya (Studie; WWF),Indien,2017,Umweltschutz,Ressourcenschutz inkl. Wasser,275000.0,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz (BMUV)",NRO,3,2.0,2.0,3.0,3.0,3,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/IKI-Evaluierungen/IKI_Indien_Schutzgebiete_2017_D.pdf,0.0,66.66666666666666,33.33333333333333,IKI_Indien_Schutzgebiete_2017_D.pdf
Sicherung natürlicher Kohlenstoffsenken und Lebensräume im Herzen von Borneo,Indonesien,2018,Umweltschutz,Ressourcenschutz inkl. Wasser,1005000.0,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz (BMUV)",NRO,4,4.0,4.0,4.0,4.0,3,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/IKI-Evaluierungen/IKI_Indonesien_Heart-of-Borneo_2018_D.pdf,33.33333333333333,66.66666666666666,0.0,IKI_Indonesien_Heart-of-Borneo_2018_D.pdf
Ökoregionales Programm Phase ll (TJS II),Kaukasus (regional),2018,Umweltschutz,Ressourcenschutz inkl. Wasser,3500000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Multilateral,3,2.0,,3.0,3.0,3,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-E-K/Kaukasus_TJS_2018_D.pdf,100.0,0.0,0.0,Kaukasus_TJS_2018_D.pdf
Wiederherstellung von Naturwäldern im südlichen Kaukasus,Kaukasus (regional),2017,Umweltschutz,Ernährungssicherung,4825000.0,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz (BMUV)",NRO,3,3.0,2.0,3.0,3.0,4,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/IKI-Evaluierungen/IKI_Kaukasus_Naturwald_2017_D.pdf,66.66666666666666,0.0,33.33333333333333,IKI_Kaukasus_Naturwald_2017_D.pdf
Minderung des CO2-Ausstoßes durch Schutz und Management der autochthonen Mischwälder im Russischen Fernen Osten (RFO),Russland,2018,Umweltschutz,Ressourcenschutz inkl. Wasser,5049000.0,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz (BMUV)",NRO,1,1.0,1.0,1.0,1.0,2,2.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/IKI-Evaluierungen/IKI_Russland_RFO_2018_D.pdf,66.66666666666666,0.0,22.22222222222222,IKI_Russland_RFO_2018_D.pdf
Grenzüberschreitendes Biosphärenreservat Prespa (Mazedonien),Nordmazedonien,2018,Umweltschutz,Ressourcenschutz inkl. Wasser,2430000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,4,3.0,,4.0,3.0,3,4.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-L-P/Mazedonien_Prespa_2018_D.pdf,20.0,40.0,40.0,Mazedonien_Prespa_2018_D.pdf
Grenzüberschreitendes Biosphärenreservat Prespa (Albanien),Albanien,2018,Umweltschutz,Ressourcenschutz inkl. Wasser,3880000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,3,3.0,,3.0,3.0,3,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-L-P/Mazedonien_Prespa_2018_D.pdf,20.0,40.0,40.0,Mazedonien_Prespa_2018_D.pdf
Sektorprogramm Artenvielfalt und Schutzgebiete II,Bolivien,2018,Umweltschutz,Ressourcenschutz inkl. Wasser,5810000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,4,3.0,,3.0,4.0,3,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D/Bolivien_Artenvielfalt_2018_D.pdf,30.0,50.0,10.0,Bolivien_Artenvielfalt_2018_D.pdf
Ökologische Korridore,Brasilien,2017,Umweltschutz,Ressourcenschutz inkl. Wasser,16740000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,4,3.0,,4.0,4.0,4,4.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D/Brasilien_Öko_Korridore_2017_D.pdf,0.0,25.0,75.0,Brasilien_Öko_Korridore_2017_D.pdf
Wiedervernässung und nachhaltiges Management von Mooren,Belarus,2018,Umweltschutz,Ressourcenschutz inkl. Wasser,3607000.0,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz (BMUV)",NRO,3,2.0,2.0,3.0,2.0,3,2.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/IKI-Evaluierungen/IKI_Belarus_Moore_2018_D.pdf,66.66666666666666,0.0,33.33333333333333,IKI_Belarus_Moore_2018_D.pdf
Aufforstung Innere Mongolei,Volksrepublik China,2015,Umweltschutz,Ernährungssicherung,12650000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,2,2.0,,2.0,2.0,3,2.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D/China_Aufforstung_D_2015.pdf,75.0,25.0,0.0,China_Aufforstung_D_2015.pdf
Aufforstung Liaoning,Volksrepublik China,2015,Umweltschutz,Ernährungssicherung,10650000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,3,3.0,,3.0,2.0,3,2.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D/China_Aufforstung_D_2015.pdf,75.0,25.0,0.0,China_Aufforstung_D_2015.pdf
Kleinbäuerliche Aufforstung Hebei II,Volksrepublik China,2015,Umweltschutz,Ernährungssicherung,9010000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,3,3.0,,3.0,2.0,3,2.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D/China_Solarenergie_D_2015.pdf ,66.66666666666666,33.33333333333333,0.0,
Erosionsschutzprogramm I,Madagaskar,2017,Umweltschutz,Ernährungssicherung,5410000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,3,3.0,,3.0,3.0,4,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-L-P/Madagaskar_Erosionsschutz_2017_D.pdf,33.33333333333333,33.33333333333333,33.33333333333333,Madagaskar_Erosionsschutz_2017_D.pdf
Erosionsschutzprogramm II ,Madagaskar,2017,Landwirtschaft und Ernährungssicherheit,Ernährungssicherung,4820000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,3,3.0,,3.0,3.0,4,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-L-P/Madagaskar_Erosionsschutz_2017_D.pdf,33.33333333333333,33.33333333333333,33.33333333333333,Madagaskar_Erosionsschutz_2017_D.pdf
Amazonienfonds,Brasilien,2016,Umweltschutz,Ressourcenschutz inkl. Wasser,18000000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,2,1.0,,3.0,2.0,3,2.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D/Brasilien_Amazonienfonds_2016_D.pdf,50.0,0.0,25.0,Brasilien_Amazonienfonds_2016_D.pdf
Amazonienbecken,Brasilien,2016,Umweltschutz,Ressourcenschutz inkl. Wasser,3000000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,2,1.0,,3.0,2.0,3,2.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D/Brasilien_Amazonienfonds_2016_D.pdf,50.0,0.0,25.0,Brasilien_Amazonienfonds_2016_D.pdf
Programm zum Schutz und Management der natürlichen Ressourcen I (FI-ProCGRN),Benin,2018,Landwirtschaft und Ernährungssicherheit,Ernährungssicherung,4000000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,4,3.0,,3.0,3.0,4,4.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D/Benin_Ressourcen_2018_D.pdf,0.0,0.0,0.0,Benin_Ressourcen_2018_D.pdf
Programm zum Schutz und Management der natürlichen Ressourcen II (FI-ProAgri),Benin,2018,Landwirtschaft und Ernährungssicherheit,Ernährungssicherung,3300000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,4,3.0,,3.0,3.0,4,4.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D/Benin_Ressourcen_2018_D.pdf,25.0,50.0,25.0,Benin_Ressourcen_2018_D.pdf
Waldschutz <span lang='pt'>Mata Atlantica</span>,Brasilien,2016,Umweltschutz,Ressourcenschutz inkl. Wasser,2000000.0,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz (BMUV)",NRO,2,1.0,,2.0,3.0,2,2.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/IKI-Evaluierungen/IKI_Brasilien_Küstenwald_2016_D.pdf,100.0,0.0,0.0,IKI_Brasilien_Küstenwald_2016_D.pdf
Waldschutz <span lang='pt'>Mata Atlântica II</span>,Brasilien,2016,Umweltschutz,Ressourcenschutz inkl. Wasser,8500000.0,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz (BMUV)",Mischform,4,2.0,,3.0,4.0,3,4.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/IKI-Evaluierungen/IKI_Brasilien_Küstenwald_2016_D.pdf,0.0,66.66666666666666,33.33333333333333,IKI_Brasilien_Küstenwald_2016_D.pdf
Erosionsschutz Maharashtra Phase III,Indien,2018,Landwirtschaft und Ernährungssicherheit,Ernährungssicherung,19720000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,3,2.0,,3.0,2.0,2,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-E-K/Indien_IGWDP_2018_D.pdf,42.857142857142854,28.57142857142857,28.57142857142857,Indien_IGWDP_2018_D.pdf
Rehabilitierung von Wassereinzugsgebieten in Andhra Pradesh,Indien,2018,Landwirtschaft und Ernährungssicherheit,Ernährungssicherung,9290000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,2,2.0,,2.0,2.0,2,2.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-E-K/Indien_IGWDP_2018_D.pdf,50.0,33.33333333333333,16.666666666666664,Indien_IGWDP_2018_D.pdf
Sicherung der Energieübertragung Südkaukasus (Umspannstation Gyumri),Armenien,2019,Energie,Klima und Energie,13700000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,3,2.0,,3.0,3.0,3,2.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D/Armenien_2019_Gyumri_D.pdf,66.66666666666666,33.33333333333333,0.0,Armenien_2019_Gyumri_D.pdf
Überregionales Programm zur Bekämpfung der Tuberkulose II Armenien,Armenien,2019,Gesundheit,Gesundheit und soziale Sicherung,1220000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,4,2.0,,3.0,2.0,3,4.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-E-K/Georgien_Aserbaidschan_Armenien_TB_2019_D.pdf,66.66666666666666,0.0,33.33333333333333,Georgien_Aserbaidschan_Armenien_TB_2019_D.pdf
Überregionales Programm zur Bekämpfung der Tuberkulose II Aserbaidschan,Aserbaidschan,2019,Gesundheit,Gesundheit und soziale Sicherung,1720000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,3,2.0,,3.0,2.0,3,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-E-K/Georgien_Aserbaidschan_Armenien_TB_2019_D.pdf,33.33333333333333,66.66666666666666,0.0,Georgien_Aserbaidschan_Armenien_TB_2019_D.pdf
Überregionales Programm zur Bekämpfung der Tuberkulose Phase II Georgien,Georgien,2019,Gesundheit,Gesundheit und soziale Sicherung,1660000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,4,2.0,,4.0,2.0,3,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-E-K/Georgien_Aserbaidschan_Armenien_TB_2019_D.pdf,0.0,0.0,100.0,Georgien_Aserbaidschan_Armenien_TB_2019_D.pdf
Wasserver- und Abwasserentsorgung Banja Luka I,Bosnien und Herzegowina,2019,Wasser,Ressourcenschutz inkl. Wasser,9520000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,3,3.0,,3.0,3.0,4,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D/BosnienH_BanjaLuka_2019_D.pdf,66.66666666666666,16.666666666666664,16.666666666666664,BosnienH_BanjaLuka_2019_D.pdf
Wasserver- und Abwasserentsorgung Banja Luka II,Bosnien und Herzegowina,2019,Wasser,Ressourcenschutz inkl. Wasser,9520000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,3,3.0,,3.0,3.0,4,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D/BosnienH_BanjaLuka_2019_D.pdf,66.66666666666666,16.666666666666664,16.666666666666664,BosnienH_BanjaLuka_2019_D.pdf
Donaubrücke Vidin - Calafat,Bulgarien,2019,Transport und Kommunikation,Nachhaltige Wirtschaft,260500000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,3,2.0,,3.0,3.0,3,2.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D/Bulgarien_Donaubrücke_2019_D.pdf,83.33333333333334,0.0,16.666666666666664,Bulgarien_Donaubrücke_2019_D.pdf
Trinkwasserversorgung/ Abfallentsorgung in Kleinstädten II Chaco,Bolivien,2019,Wasser,Ressourcenschutz inkl. Wasser,21300000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,4,2.0,,3.0,3.0,3,4.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D/Bolivien_Chaco_2019_D-2.pdf,57.14285714285714,14.285714285714285,28.57142857142857,Bolivien_Chaco_2019_D-2.pdf
Programm zur Förderung erneuerbarer Energien,Georgien,2019,Energie,Klima und Energie,8950000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,3,2.0,,3.0,2.0,4,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-E-K/Georgien_Energie_2019_D.pdf,100.0,0.0,0.0,Georgien_Energie_2019_D.pdf
Kreditprogramm Energieeffizienz,Volksrepublik China,2019,Nachhaltige Wirtschaftsentwicklung,Nachhaltige Wirtschaft,397600000.0,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz (BMUV)",Staatlich,2,2.0,2.0,2.0,3.0,2,3.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/IKI-Evaluierungen/IKI_China_Energieeffizien_2019_D.pdf,75.0,0.0,0.0,IKI_China_Energieeffizien_2019_D.pdf
Infrastrukturrehabilitation in West-Georgien,Georgien,2019,Frieden und Sicherheit,Frieden und Governance,11520000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,4,2.0,,2.0,3.0,3,4.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-E-K/Georgien_Infrastruktur_2019_D.pdf,75.0,0.0,25.0,Georgien_Infrastruktur_2019_D.pdf
Armutsminderung Xinjiang,Volksrepublik China,2019,Umweltschutz,Frieden und Governance,10650000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,4,3.0,,3.0,3.0,3,4.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D/China_Xinjiang_2019_D.pdf,25.0,25.0,50.0,China_Xinjiang_2019_D.pdf
Förderung des Energiesektors im Kosovo (Investition),Kosovo,2019,Energie,Klima und Energie,21540000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,2,2.0,,1.0,2.0,2,2.0,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-E-K/Kosovo_Peja_2019_D.pdf,100.0,0.0,0.0,Kosovo_Peja_2019_D.pdf
Krisensofortprogramm Wassersektor,Jemen,2019,Wasser,Ressourcenschutz inkl. Wasser,14900000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,2,1.0,,2.0,2.0,2,,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-E-K/Jemen_Wasser_2019_D.pdf,0.0,0.0,0.0,Jemen_Wasser_2019_D.pdf
Erweiterung der Kläranlage IBB,Jemen,2019,Wasser,Ressourcenschutz inkl. Wasser,600000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,4,2.0,,4.0,4.0,5,,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-E-K/Jemen_Wasser_2019_D.pdf,0.0,0.0,0.0,Jemen_Wasser_2019_D.pdf
PTP Kleinvorhaben Al Shehr - Sofortmaßnahmen im Sanitärbereich,Jemen,2019,Wasser,Ressourcenschutz inkl. Wasser,300000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,5,2.0,,5.0,5.0,5,,https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-E-K/Jemen_Wasser_2019_D.pdf,0.0,0.0,0.0,Jemen_Wasser_2019_D.pdf
