project_name,country,year,sector,subsector,investment,fund_source,carrier_type,overall_rating,relevance,coherence,effectivity,efficiency,impact,sustainability,url,outcome_fully,outcome_partially,outcome_not,pdf
Entwicklung ländlicher Märkte in der Region Khulna,Bangladesch,2012,Governance,Frieden und Governance,119950000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,1,1.0,,1.0,1.0,1,2.0,https://www.kfw-entwicklungsbank.de/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D/Bangladesch_Märkte_Straßen_2012.pdf,100.0,0.0,0.0,Bangladesch_Märkte_Straßen_2012.pdf
Finanzsystementwicklung III,Bolivien,2012,Nachhaltige Wirtschaftsentwicklung,Nachhaltige Wirtschaft,7330000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,2,3.0,,2.0,2.0,3,2.0,https://www.kfw-entwicklungsbank.de/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D/Bolivien_NAFIBO_III_2012.pdf,50.0,16.666666666666664,16.666666666666664,Bolivien_NAFIBO_III_2012.pdf
Abwasserentsorgung Pernambuco,Brasilien,2012,Wasser,Ressourcenschutz inkl. Wasser,12310000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Mischform,4,4.0,,3.0,3.0,4,4.0,https://www.kfw-entwicklungsbank.de/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D/Brasilien_AE_Pernambuco_2012.pdf,0.0,25.0,75.0,Brasilien_AE_Pernambuco_2012.pdf
Unterstützung des Programms zur Wiedereingliederung,Burundi,2012,Frieden und Sicherheit,Frieden und Governance,9180000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,2,2.0,,1.0,1.0,2,3.0,https://www.kfw-entwicklungsbank.de/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D/Burundi_Reintegration_2012.pdf,100.0,0.0,0.0,Burundi_Reintegration_2012.pdf
Unterstützung des Programms zur Reintegration,Burundi,2012,Frieden und Sicherheit,Frieden und Governance,3000000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,2,2.0,,1.0,1.0,2,3.0,https://www.kfw-entwicklungsbank.de/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D/Burundi_Reintegration_2012.pdf,100.0,0.0,0.0,Burundi_Reintegration_2012.pdf
HIV-AIDS-Prävention in der Karibik,Karibik (CARICOM),2012,Gesundheit,Gesundheit und soziale Sicherung,9900000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Multilateral,3,2.0,,2.0,2.0,3,3.0,https://www.kfw-entwicklungsbank.de/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D/CARICOM_HIV_Aids_2012.pdf,75.0,25.0,0.0,CARICOM_HIV_Aids_2012.pdf
Armutsminderung Sichuan,Volksrepublik China,2012,Landwirtschaft und Ernährungssicherheit,Ernährungssicherung,360000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,4,4.0,,4.0,4.0,4,4.0,https://www.kfw-entwicklungsbank.de/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D/China_Sichuan_2012.pdf,0.0,50.0,50.0,China_Sichuan_2012.pdf
Naturressourcenschutz <span lang='es'>Alto Rio Yaque del Norte</span>,Dominikanische Republik,2012,Umweltschutz,Ressourcenschutz inkl. Wasser,5600000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,3,2.0,,3.0,3.0,3,3.0,https://www.kfw-entwicklungsbank.de/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D/DomRep_Naturressourcen_2012.pdf,33.33333333333333,33.33333333333333,33.33333333333333,DomRep_Naturressourcen_2012.pdf
Naturressourcenschutz <span lang='es'>Alto Rio Yaque del Norte</span>,Dominikanische Republik,2012,Umweltschutz,Ressourcenschutz inkl. Wasser,5600000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,3,2.0,,3.0,3.0,3,3.0,https://www.kfw-entwicklungsbank.de/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-A-D/DomRep_Naturressourcen_2012.pdf,66.66666666666666,0.0,33.33333333333333,DomRep_Naturressourcen_2012.pdf
Ländliche Wasserversorgung III,Ghana,2012,Wasser,Ressourcenschutz inkl. Wasser,4653000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,2,1.0,,2.0,3.0,3,2.0,https://www.kfw-entwicklungsbank.de/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-E-K/Ghana_Ländl_WV_2012.pdf,75.0,25.0,0.0,Ghana_Ländl_WV_2012.pdf
KKU-Finanzsektorförderung,Honduras,2012,Nachhaltige Wirtschaftsentwicklung,Nachhaltige Wirtschaft,19200000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,2,2.0,,2.0,2.0,3,2.0,https://www.kfw-entwicklungsbank.de/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-E-K/Honduras_KKU_Finanzsektorförderung_2012.pdf,80.0,20.0,0.0,Honduras_KKU_Finanzsektorförderung_2012.pdf
Erosionsschutz Maharashtra durch NROs,Indien,2012,Landwirtschaft und Ernährungssicherheit,Ernährungssicherung,9775000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,2,1.0,,1.0,1.0,1,3.0,https://www.kfw-entwicklungsbank.de/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-E-K/Indien_Maharashtra_2012.pdf,100.0,0.0,0.0,Indien_Maharashtra_2012.pdf
Erosionsschutz Maharashtra II,Indien,2012,Landwirtschaft und Ernährungssicherheit,Ernährungssicherung,9775000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,2,1.0,,1.0,1.0,1,3.0,https://www.kfw-entwicklungsbank.de/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-E-K/Indien_Maharashtra_2012.pdf,100.0,0.0,0.0,Indien_Maharashtra_2012.pdf
Internatsschulen Rajasthan,Indien,2012,Bildung,Nachhaltige Wirtschaft,16600000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,2,2.0,,2.0,1.0,3,3.0,https://www.kfw-entwicklungsbank.de/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-E-K/Indien_Internatschulen_Rajasthan_2012.pdf,33.33333333333333,66.66666666666666,0.0,Indien_Internatschulen_Rajasthan_2012.pdf
Förderung privater Infrastrukturprojekte,Indien,2012,Nachhaltige Wirtschaftsentwicklung,Nachhaltige Wirtschaft,54000000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Mischform,3,2.0,,3.0,2.0,2,3.0,https://www.kfw-entwicklungsbank.de/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-E-K/Indien_PSIF_2012.pdf,0.0,50.0,50.0,Indien_PSIF_2012.pdf
Ausbau des Rundfunknetzes,Indonesien,2012,Nachhaltige Wirtschaftsentwicklung,Klima und Energie,16560000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,5,2.0,,5.0,5.0,4,4.0,https://www.kfw-entwicklungsbank.de/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-E-K/Indonesien_Rundfunknetz_2012.pdf,50.0,0.0,50.0,Indonesien_Rundfunknetz_2012.pdf
Familiengesundheit und Familienplanung,Jemen,2012,Gesundheit,Gesundheit und soziale Sicherung,3100000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,4,3.0,,4.0,4.0,5,3.0,https://www.kfw-entwicklungsbank.de/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-E-K/Jemen_FP_2012.pdf,0.0,75.0,0.0,Jemen_FP_2012.pdf
Abwasserentsorgung Bajil und Bait Al-Faq,Jemen,2012,Wasser,Ressourcenschutz inkl. Wasser,21030000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,4,3.0,,3.0,3.0,4,4.0,https://www.kfw-entwicklungsbank.de/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-E-K/Jemen_Wasser_Bajil_Zabid_2012.pdf,0.0,33.33333333333333,66.66666666666666,Jemen_Wasser_Bajil_Zabid_2012.pdf
Abwasser Zabid,Jemen,2012,Wasser,Ressourcenschutz inkl. Wasser,10370000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,3,2.0,,3.0,3.0,3,3.0,https://www.kfw-entwicklungsbank.de/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-E-K/Jemen_Wasser_Bajil_Zabid_2012.pdf,33.33333333333333,66.66666666666666,0.0,Jemen_Wasser_Bajil_Zabid_2012.pdf
Erweiterung und Rehabilitierung von Grundschulen Ibb/Abyan II,Jemen,2012,Bildung,Nachhaltige Wirtschaft,5550000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,3,2.0,,3.0,4.0,3,3.0,https://www.kfw-entwicklungsbank.de/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-E-K/Jemen_Reha_Schule_2012.pdf,50.0,50.0,0.0,Jemen_Reha_Schule_2012.pdf
Ländliche Infrastruktur,Kambodscha,2012,Transport und Kommunikation,Nachhaltige Wirtschaft,10500000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,2,1.0,,3.0,2.0,2,3.0,https://www.kfw-entwicklungsbank.de/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-E-K/Kambodscha_Ländl._Infra_TRIP_IV_2011.pdf,50.0,0.0,50.0,Kambodscha_Ländl._Infra_TRIP_IV_2011.pdf
Sektorprogramm Gesundheit,Kamerun,2012,Gesundheit,Gesundheit und soziale Sicherung,7700000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,4,3.0,,4.0,4.0,4,4.0,https://www.kfw-entwicklungsbank.de/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-E-K/Kamerun_Gesundheit_2012.pdf,0.0,0.0,100.0,Kamerun_Gesundheit_2012.pdf
Brückenrehabilitierung Programm I,Kamerun,2012,Transport und Kommunikation,Nachhaltige Wirtschaft,10400000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,3,2.0,,2.0,2.0,4,3.0,https://www.kfw-entwicklungsbank.de/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-E-K/Kamerun_Brücken_2012.pdf,100.0,0.0,0.0,Kamerun_Brücken_2012.pdf
Rehabilitierungmaßnahmen im Hafen <span lang='fr'>Douala</span>,Kamerun,2012,Transport und Kommunikation,Nachhaltige Wirtschaft,37500000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,3,2.0,,2.0,2.0,3,3.0,https://www.kfw-entwicklungsbank.de/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-E-K/Kamerun_Hafen_Douala_2012.pdf,66.66666666666666,33.33333333333333,0.0,Kamerun_Hafen_Douala_2012.pdf
Straßenunterhaltung I,Kenia,2012,Transport und Kommunikation,Nachhaltige Wirtschaft,21340000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,2,1.0,,2.0,2.0,3,2.0,https://www.kfw-entwicklungsbank.de/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-E-K/Kenia_Straßenunterhaltung_2012.pdf,100.0,0.0,0.0,Kenia_Straßenunterhaltung_2012.pdf
Familienplanung,Kenia,2012,Gesundheit,Gesundheit und soziale Sicherung,5570000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,3,2.0,,3.0,3.0,4,3.0,https://www.kfw-entwicklungsbank.de/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-E-K/Kenia_FP_2012.pdf,66.66666666666666,0.0,33.33333333333333,Kenia_FP_2012.pdf
Städtische Wasserver- und entsorgung IV,Kosovo,2012,Wasser,Ressourcenschutz inkl. Wasser,5000000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Multilateral,4,3.0,,3.0,3.0,3,4.0,https://www.kfw-entwicklungsbank.de/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-E-K/Kosovo_WV_IV_2012.pdf,33.33333333333333,16.666666666666664,33.33333333333333,Kosovo_WV_IV_2012.pdf
Entwicklungsfonds Dezentralisierung,Malawi,2012,Governance,Frieden und Governance,2250800.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,3,3.0,,3.0,3.0,3,3.0,https://www.kfw-entwicklungsbank.de/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-L-P/Malawi_Entwicklungsfonds_2012.pdf,100.0,0.0,0.0,Malawi_Entwicklungsfonds_2012.pdf
Ländliche Trinkwasserversorg./MTP (Investition),Marokko,2012,Wasser,Ressourcenschutz inkl. Wasser,7930000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,2,2.0,,2.0,2.0,3,2.0,https://www.kfw-entwicklungsbank.de/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-L-P/Marokko_Ländl_WV_2012.pdf,66.66666666666666,0.0,33.33333333333333,Marokko_Ländl_WV_2012.pdf
Ländliche Trinkwasserversorg. II (Investition),Marokko,2012,Wasser,Ressourcenschutz inkl. Wasser,6440000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,2,2.0,,2.0,2.0,3,2.0,https://www.kfw-entwicklungsbank.de/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-L-P/Marokko_Ländl_WV_2012.pdf,25.0,50.0,25.0,Marokko_Ländl_WV_2012.pdf
Aufbau von agro-technischen Servicestation,Moldau ,2012,Landwirtschaft und Ernährungssicherheit,Ernährungssicherung,4500000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Privatwirtschaftlich,3,4.0,,2.0,3.0,2,2.0,https://www.kfw-entwicklungsbank.de/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-L-P/Moldau_Servicestationen_2012.pdf,100.0,0.0,0.0,Moldau_Servicestationen_2012.pdf
<span lang='en'>Pro Credit Bank (THB)</span>,Moldau ,2012,Nachhaltige Wirtschaftsentwicklung,Nachhaltige Wirtschaft,1700000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Privatwirtschaftlich,2,2.0,,2.0,2.0,2,1.0,https://www.kfw-entwicklungsbank.de/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-L-P/Moldau_ProCredit_2012.pdf,85.71428571428571,0.0,14.285714285714285,Moldau_ProCredit_2012.pdf
Wasserver-und Abwasserentsorgung Adriaküste Phase II Montenegro,Montenegro,2012,Wasser,Ressourcenschutz inkl. Wasser,8700000.0,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),Staatlich,3,2.0,,3.0,3.0,3,3.0,https://www.kfw-entwicklungsbank.de/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-L-P/Montenegro_WV_Adriaküste_2012.pdf,71.42857142857143,14.285714285714285,14.285714285714285,Montenegro_WV_Adriaküste_2012.pdf
